通し番号,技名,威力,反動ダメージ,備考,基本技フラグ
1,あまごい,0,0,雨が降る。特に何もない。,0
2,にほんばれ,0,0,いい天気になる。特に何もない。,0
3,みきり,0,0,わざを避けることができる。,0
4,まもる,0,0,わざのダメージを防ぐことができる。,0
5,ねこだまし,30,0,,1
6,たいあたり,40,0,,1
7,ひっかく,40,0,,1
8,ひのこ,40,0,,1
9,ひらてうち,40,0,,1
10,ねんりき,40,0,,1
11,つばめがえし,40,0,,0
12,おどろかす,40,0,,0
13,キック,40,0,,0
14,けたぐり,40,0,,0
15,ふいうち,50,0,,0
16,かげうち,50,0,,0
17,かみつく,50,0,,0
18,ぶんなぐる,50,0,,0
19,アクアジェット,50,0,,0
20,アクセルロック,50,0,,0
21,マッハパンチ,50,0,,0
22,バレットパンチ,50,0,,0
23,きりさく,50,0,,0
24,みだれひっかき,50,0,,0
25,ドラゴンテール,50,0,,0
26,れいとうパンチ,50,0,,0
27,ほのおのパンチ,50,0,,0
28,かみなりパンチ,50,0,,0
29,つばさでうつ,50,0,,0
30,ドリルくちばし,50,0,,0
31,とびかかる,50,0,,0
32,コメットパンチ,50,0,,0
33,せおいなげ,60,0,,1
34,じだんだ,60,0,,1
35,ねっとう,60,0,,1
36,ちきゅうなげ,60,0,,1
37,しんそく,60,0,,1
38,れんぞくぎり,60,0,,1
39,のしかかり,60,0,,1
40,つじぎり,60,0,,1
41,サイコショック,60,0,,1
42,しねんのずつき,60,0,,0
43,サイコカッター,60,0,,0
44,ドラゴンクロー,60,0,,0
45,たたりめ,60,0,,0
46,シャドークロー,60,0,,0
47,フリーズドライ,60,0,,0
48,こごえるかぜ,60,0,,0
49,アイススピナー,60,0,,0
50,そらをとぶ,60,0,,0
51,ダブルウイング,60,0,,0
52,アイアンヘッド,60,0,,0
53,ラスターカノン,60,0,,0
54,むしのさざめき,60,0,,0
55,ヘドロウェーブ,60,0,,0
56,ヘドロばくだん,60,0,,0
57,どくづき,60,0,,0
58,ひけん・ちえなみ,70,0,,0
59,がんせきふうじ,70,0,,0
60,かみくだく,70,0,,0
61,DDラリアット,70,0,,0
62,サイコキネシス,70,0,,0
63,シャドーボール,70,0,,0
64,れいとうビーム,70,0,,0
65,アクロバット,70,0,,0
66,ヘビーボンバー,70,0,,0
67,じしん,80,0,,0
68,アクアブレイク,80,0,,0
69,げきりん,80,0,,0
70,ムーンフォース,80,0,,0
71,じゃれつく,80,0,,0
72,マジカルシャイン,80,0,,0
73,ウェブシューター,80,0,,1
74,トリプルアクセル,90,0,,0
75,かえんほうしゃ,90,0,,0
76,インファイト,90,0,,0
77,リーフブレード,90,0,,0
78,リーフストーム,90,0,,0
79,10まんボルト,90,0,,0
80,だいちのちから,90,0,,0
81,ストーンエッジ,90,0,,0
82,メガトンキック,90,0,,0
83,ワイルドボルト,100,30,反動ダメージを受ける。,0
84,ブレイブバード,100,20,少し反動ダメージを受ける。,0
85,ウェーブタックル,100,10,少し反動ダメージを受ける。,0
86,りゅうせいぐん,100,0,,0
87,ハイドロポンプ,100,0,当たりづらい。,0
88,オーバーヒート,100,0,当たりづらい。,0
89,ソーラービーム,100,0,,0
90,ボルテッカー,100,0,,0
91,はかいこうせん,110,20,少し反動ダメージを受ける。,0
92,とびひざげり,110,20,少し反動ダメージを受ける。,0
93,フレアドライブ,110,20,少し反動ダメージを受ける。,0
94,あくうせつだん,110,0,,0
95,パワーウィップ,110,0,当たりづらい。,0
96,ゴッドバード,120,50,大きく反動ダメージを受ける。,0
97,すてみタックル,120,30,反動ダメージを受ける。,0
98,もろはのずつき,120,30,反動ダメージを受ける。,0
99,ウッドハンマー,120,20,少し反動ダメージを受ける。,0
100,ふぶき,120,0,当たりづらい。,0
101,かみなり,120,0,当たりづらい。,0
102,はめつのひかり,120,0,,0
103,てっていこうせん,130,50,大きく反動ダメージを受ける。,0
104,でんじほう,130,0,当たりづらい。,0
105,じばく,150,100,ひんしになる。,0
106,だいばくはつ,150,100,ひんしになる。,0
107,じわれ,200,0,とても当たりづらい。,0
108,ぜったいれいど,200,0,とても当たりづらい。,0
109,天焦がす滅亡の光,999,0,,0
